Region,Periodo,Season,Total Sales
Center,1,A,28700
Center,2,B,25200
Center,3,C,46200
Center,4,A,42000
Center,5,B,35700
Center,6,C,62300
Center,7,A,55262.41135
West,1,A,12600
West,2,B,13300
West,3,C,18900
West,4,A,19600
West,5,B,20300
West,6,C,28196
West,7,A,28000
North,1,A,4900
North,2,B,8400
North,3,C,18200
North,4,A,18900
North,5,B,21600
North,6,C,30800
North,7,A,27048.95105
East,7,A,5880.597015
South,7,A,4470.588235
West,8,B,31243.00000
Center,8,B,41033.00000
North,8,B,32221.00000
East,8,B,7922.00000
South,8,B,5861.00000
West,9,C,39208.00000
Center,9,C,61415.00000
North,9,C,31238.00000
East,9,C,9000.00000
South,9,C,8200.00000
West,10,A,31299.00000
Center,10,A,53850.00000
North,10,A,28201.00000
East,10,A,13245.00000
South,10,A,8955.00000
West,11,B,40390.00000
Center,11,B,41041.00000
North,11,B,28235.00000
East,11,B,19339.00000
South,11,B,12320.00000
